avg_temperature,max_temperature,min_temperature,target_temp,max_position_col,max_position_row,min_position_col,min_position_row,target_position_col,target_position_row
21.69,30.73,17.85,22.54,193,25,29,75,152,80
21.68,30.73,17.85,22.54,193,25,29,75,152,80
21.68,30.73,17.85,22.66,193,25,29,75,152,80
21.67,30.66,17.73,22.79,193,25,29,75,152,80
21.67,30.66,17.85,22.79,193,24,29,75,152,80
21.67,30.66,17.85,22.79,193,25,29,75,152,80
21.67,30.66,17.85,22.79,193,24,29,76,152,80
21.67,30.73,17.85,22.66,193,25,29,74,152,80
21.67,30.73,17.85,22.66,193,25,29,77,152,80
21.67,30.66,17.85,22.79,193,25,29,70,152,80
21.67,30.66,17.73,22.85,193,24,29,70,152,80
21.66,30.66,17.73,22.85,193,24,29,70,152,80
21.67,30.66,17.73,22.79,193,25,29,74,152,80
21.66,30.66,17.73,22.6,193,25,29,74,152,80
21.66,30.66,17.73,22.6,193,25,29,74,152,80
21.66,30.66,17.73,22.6,193,25,29,74,152,80
21.66,30.66,17.73,22.66,193,25,29,74,152,80
21.66,30.66,17.73,22.6,193,25,29,74,152,80
21.65,30.66,17.73,22.54,193,26,29,73,152,80
21.65,30.66,17.73,22.48,193,26,29,70,152,80
21.64,30.66,17.73,22.48,194,24,29,70,152,80
21.64,30.73,17.73,22.48,194,24,29,67,152,80
21.63,30.73,17.66,22.29,194,24,29,67,152,80
21.63,30.73,17.66,22.41,194,24,29,70,152,80
21.62,30.73,17.66,22.41,194,24,29,70,152,80
21.62,30.66,17.66,22.23,194,24,29,67,152,80
21.62,30.66,17.66,22.29,194,24,29,67,152,80
21.62,30.66,17.66,22.41,194,24,29,67,152,80
21.62,30.66,17.66,22.23,194,24,29,67,152,80
21.62,30.66,17.66,22.1,194,24,29,73,152,80
21.62,30.66,17.66,22.1,194,24,29,73,152,80
21.61,30.66,17.73,22.04,194,24,29,73,152,80
21.61,30.66,17.73,22.04,194,24,29,73,152,80
21.6,30.66,17.73,21.91,194,24,29,73,152,80
21.59,30.66,17.73,21.91,194,24,29,74,152,80
21.6,30.66,17.73,21.85,194,24,29,74,152,80
21.6,30.66,17.66,21.73,194,25,29,74,152,80
21.6,30.66,17.66,21.48,194,25,29,74,152,80
21.6,30.54,17.73,21.16,194,25,29,77,152,80
21.59,30.54,17.73,21.48,194,25,29,78,152,80
21.59,30.54,17.66,21.73,194,24,29,74,152,80
21.58,30.6,17.66,21.79,194,24,29,74,152,80
21.58,30.6,17.73,21.79,194,24,29,74,152,80
21.58,30.6,17.73,21.73,194,24,29,74,152,80
21.58,30.6,17.66,21.79,194,24,29,67,152,80
21.57,30.66,17.66,21.79,194,24,29,67,152,80
21.58,30.66,17.66,21.79,194,24,29,67,152,80
21.58,30.66,17.66,21.85,194,24,29,67,152,80
21.58,30.66,17.66,21.79,194,24,29,74,152,80
21.57,30.66,17.66,21.85,194,24,29,74,152,80
21.57,30.66,17.66,22.48,194,24,29,73,152,80
21.57,30.6,17.73,22.6,193,25,28,80,152,80
21.56,30.6,17.73,22.54,194,24,28,80,152,80
21.56,30.54,17.73,22.48,194,24,28,80,152,80
21.56,30.54,17.66,22.48,194,24,28,99,152,80
21.55,30.6,17.66,22.54,194,24,28,80,152,80
21.55,30.66,17.73,22.6,193,25,28,80,152,80
21.54,30.66,17.66,22.6,193,25,28,80,152,80
21.54,30.54,17.66,22.66,193,25,28,80,152,80
21.54,30.54,17.66,22.79,193,25,28,80,152,80
21.53,30.54,17.66,22.85,193,25,28,76,152,80
21.54,30.54,17.66,22.85,193,24,28,75,152,80
21.53,30.48,17.66,22.91,193,24,28,75,152,80
